id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5198481,BBA Apartments Boavista - Casa da Música w/parking,21770105,António,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1553312,-8.6261483,Entire home/apt,149,2,180,2024-06-24,1.59,3,184,4,120760/AL
5202443,"Casa De Praia ,Mindelo ,Vila Do Conde, Porto",23417452,Amandio/Paula,VILA DO CONDE,Mindelo,41.31216,-8.73077,Entire home/apt,65,2,6,2024-08-03,0.05,1,348,1,60084/AL
4500216,"Flattered to be in Porto, Apartment",23339323,Miguel,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.15041,-8.67622,Entire home/apt,185,1,42,2024-08-22,0.37,2,339,12,65101/AL
4586119,Citybreak - Apartments - DouroView,2686177,Citybreak,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14405,-8.61784,Entire home/apt,224,1,18,2024-08-25,0.15,27,82,2,45339/AL
4588483,Wine Apartments lll - Ribeira Studio by LovelyStay,7260938,Carlos,PORTO,Campanhã,41.1473487,-8.5735551,Entire home/apt,65,2,98,2023-06-08,0.89,3,247,0,6471/AL
4591311,Domum | Turistic Apart. T0 - P1,23800078,Domum,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14927,-8.61987,Entire home/apt,95,2,18,2023-08-18,0.16,5,318,0,55903/AL
4591622,Domum | Turistic Apart.  T0 - P2,23800078,Domum,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14957,-8.62079,Entire home/apt,95,2,7,2023-12-25,0.06,5,307,1,19703/AL
4606080,Apartamento do Bolhão 1,23867672,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15026,-8.60765,Entire home/apt,220,4,139,2024-08-20,1.18,2,298,19,5227/AL
4609308,Beautiful Beach House. Great Views over the Sea,23883458,Laura,VILA NOVA DE GAIA,Madalena,41.10318,-8.6604,Entire home/apt,185,4,42,2024-09-02,0.37,2,347,6,
4634647,BATALHA CONTEMPORARY LOFT,23999273,Emanuel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1453,-8.6082,Entire home/apt,123,2,171,2024-08-13,1.46,1,131,5,82938/AL
4658937,Almada - Cozy Apartment,24109574,Maria Joao,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15129,-8.61199,Entire home/apt,74,2,129,2024-08-12,1.09,4,251,11,20524/AL
4664676,Terrace Apart.Deluxe for 2/4 Guests,24109574,Maria Joao,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15065,-8.61178,Entire home/apt,102,2,99,2024-08-18,0.84,4,38,8,20523/AL
4682824,ChillHouse_Porto Bonjardim,16944558,Juliana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15276,-8.60804,Entire home/apt,97,2,276,2024-08-26,2.34,6,209,26,22464/AL
4722622,Almada Studio Flat - Porto,24393794,Almada,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14906,-8.61094,Entire home/apt,,2,350,2021-05-30,2.96,1,365,0,5651/AL
4742283,Baixa24 - P3R - Double Studio Historic Center,252729505,Alex,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14932,-8.61299,Entire home/apt,51,1,789,2024-08-19,6.63,16,252,35,12475/AL
4765818,Cosy farm on the middle of nature,3290522,Guilherme,OLIVEIRA DE AZEMÉIS,"O. Azeméis, Riba-Ul, Ul, Macinhata da Seixa, Madail",40.83623,-8.49356,Entire home/apt,80,3,64,2024-08-24,0.56,2,350,8,49186/AL
4793404,Roof terrace apartment in Porto's city centre,23423950,Martha,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14632,-8.61214,Entire home/apt,148,2,584,2024-08-30,4.99,2,212,65,342/AL
4800002,Porto's main square penthouse apartment,23423950,Martha,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14632,-8.61214,Entire home/apt,177,2,572,2024-08-21,4.88,2,192,57,26435/AL
5695138,Make yourself at home!,29525698,Sara,MATOSINHOS,"Custóias, Leça do Balio e Guifões",41.1906,-8.62896,Entire home/apt,,7,170,2020-01-04,1.48,1,0,0,47026/AL
5716817,Sunny Room With Private Balcony,29634304,Jose,PORTO,Ramalde,41.16291,-8.63243,Private room,,3,72,2019-06-23,0.73,1,0,0,Exempt
5752278,Av Apartments I,2015743,Susana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14841,-8.60305,Entire home/apt,55,1,154,2024-08-22,1.36,6,314,2,24343/AL
5756330,Apartamento Século XIX 2,20397743,Patrícia E Bruno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14949,-8.61547,Entire home/apt,79,1,654,2024-09-13,5.74,8,0,76,
5760491,Best Location Porto,26124658,Madalena,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.16044,-8.66561,Entire home/apt,122,30,9,2024-08-27,0.10,1,303,4,
5804599,Sun Room at Fatima's House - Cedofeita,30068812,Fátima,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15726,-8.61755,Private room,100,1,164,2023-11-06,1.61,2,308,2,95831/AL
5824521,House for conference groups in Porto,30231944,Sara,PORTO,Bonfim,41.14895,-8.60177,Entire home/apt,435,2,232,2022-10-18,2.03,1,76,0,
5836251,Bonjardim OportoStay Loft,2730238,Daniel Y Nuno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15262,-8.60844,Entire home/apt,107,2,244,2024-09-08,2.19,16,309,33,23111/AL
5845099,SãoMiguelApartments HistoricalCenter SuperiorApart,3469454,Lígia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14266,-8.61745,Entire home/apt,177,1,158,2024-09-12,1.40,6,259,17,23686/AL
5849647,studio apartment downtown 3 balcony,1266562,Lovely,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14697,-8.6026,Entire home/apt,94,2,197,2023-12-03,1.71,18,293,2,6783/AL
5872863,Welcome to my city 2,15950531,Carlos & Cristina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14175,-8.61748,Entire home/apt,68,2,619,2024-08-29,5.43,4,254,53,25717/AL
